Zeit [h]	Tf [C]	Heizleistung [W]	Massenstrom [kg/s]
2.916666667	18.85	5253	0.364722222
2.933333333	18.85	5372	0.367777778
2.95	18.8	5198	0.367222222
2.966666667	18.75	5375	0.364722222
2.983333333	18.85	5346	0.366666667
3	18.8	5200	0.365
3.016666667	18.85	5296	0.362222222
3.033333333	18.85	5398	0.365833333
3.05	18.85	5243	0.368888889
3.066666667	18.9	5287	0.368611111
3.083333333	18.9	5221	0.366111111
3.1	18.85	5242	0.366388889
3.116666667	18.95	5235	0.366944444
3.133333333	18.9	5387	0.367777778
3.15	18.95	5384	0.368611111
3.166666667	18.95	5357	0.365833333
3.183333333	18.9	5311	0.366666667
3.2	18.95	5414	0.370555556
3.216666667	18.9	5233	0.365277778
3.233333333	18.9	5217	0.3675
3.25	18.95	5373	0.3675
3.266666667	18.95	5190	0.363055556
3.283333333	18.95	5422	0.364444444
3.3	18.95	5315	0.366666667
3.316666667	18.95	5290	0.366666667
3.333333333	18.85	5346	0.366666667
3.35	18.95	5230	0.364722222
3.366666667	19.1	5265	0.368055556
3.383333333	19.1	5288	0.3675
3.4	19.05	5244	0.364722222
3.416666667	19.05	5255	0.364166667
3.433333333	19	5316	0.367222222
3.45	19.05	5324	0.367777778
3.466666667	19.05	5330	0.365
3.483333333	19.05	5134	0.367222222
3.5	19	5331	0.366944444
3.516666667	19	5262	0.368611111
3.533333333	19.05	5343	0.37
3.55	19.05	5347	0.367777778
3.566666667	19	5236	0.366388889
3.583333333	19.05	5323	0.367222222
3.6	19	5277	0.367222222
3.616666667	19.05	5237	0.363333333
3.633333333	19	5320	0.365833333
3.65	19.15	5250	0.366388889
3.666666667	19.1	5172	0.367222222
3.683333333	19.1	5461	0.368055556
3.7	19.15	5337	0.366944444
3.716666667	19.15	5306	0.368055556
3.733333333	19.1	5275	0.366944444
3.75	19.1	5265	0.365833333
3.766666667	19.1	5251	0.366944444
3.783333333	19.1	5290	0.363333333
3.8	19.15	5303	0.365277778
3.816666667	19.2	5211	0.366111111
3.833333333	19.15	5316	0.364166667
3.85	19.15	5318	0.368333333
3.866666667	19.2	5209	0.365
3.883333333	19.15	5282	0.368888889
3.9	19.2	5238	0.365
3.916666667	19.15	5352	0.3675
3.933333333	19.2	5372	0.366666667
3.95	19.2	5252	0.366666667
3.966666667	19.25	5382	0.367222222
3.983333333	19.15	5322	0.365277778
4	19.25	5296	0.3675
4.016666667	19.2	5145	0.362222222
